ds,yearly
2013-05-12,0.1495983497435966
2013-05-19,0.2033271308441939
2013-05-26,0.24776310107862748
2013-06-02,0.31957206127980253
2013-06-09,0.421484025575191
2013-06-16,0.5050474783717627
2013-06-23,0.5178713212627137
2013-06-30,0.45928384464836347
2013-07-07,0.37808328186527657
2013-07-14,0.3174937104681982
2013-07-21,0.27511759684618353
2013-07-28,0.22241299901273953
2013-08-04,0.15198234615979495
2013-08-11,0.08995030729169814
2013-08-18,0.06145276031896175
2013-08-25,0.05982154752865423
2013-09-01,0.06178461945408709
2013-09-08,0.06523702170427986
2013-09-15,0.09347196059883878
2013-09-22,0.15653064862418528
2013-09-29,0.2245184212360555
2013-10-06,0.2591744752125007
2013-10-13,0.2723534803740302
2013-10-20,0.3331687848843849
2013-10-27,0.4984159923696705
2013-11-03,0.7367204622546183
2013-11-10,0.9365492486799519
2013-11-17,0.9992291784815197
2013-11-24,0.9213449866482397
2013-12-01,0.7816742022220164
2013-12-08,0.6547885985630103
2013-12-15,0.550771260589483
2013-12-22,0.4399271324087323
2013-12-29,0.31729365710020807
2014-01-05,0.22108615878211899
2014-01-12,0.1854606168298583
2014-01-19,0.19281421305440308
2014-01-26,0.18878046610422777
2014-02-02,0.14187688352064592
2014-02-09,0.07480116644723371
2014-02-16,0.03260534754658575
2014-02-23,0.031429995865541564
2014-03-02,0.04997972078065811
2014-03-09,0.06580586943383997
2014-03-16,0.08190745164934377
2014-03-23,0.10884717317970764
2014-03-30,0.13297670730428743
2014-04-06,0.12228923150938627
2014-04-13,0.06891536775226997
2014-04-20,0.012212681849815488
2014-04-27,0.005300608259322127
2014-05-04,0.06003701944844881
2014-05-11,0.13721099722051103
2014-05-18,0.1954138776916561
2014-05-25,0.23873764043670684
2014-06-01,0.3038493309536029
2014-06-08,0.4027876057926766
2014-06-15,0.49426651052765735
2014-06-22,0.5216638045382282
2014-06-29,0.4731074752351485
2014-07-06,0.39179918328296537
2014-07-13,0.3262981008502004
2014-07-20,0.28265551072939676
2014-07-27,0.23343957169362864
2014-08-03,0.1649524435768226
2014-08-10,0.09894609109239791
2014-08-17,0.06394430510490436
2014-08-24,0.05926980710723756
2014-08-31,0.06172421586204808
2014-09-07,0.06357851276905109
2014-09-14,0.0856573610434245
2014-09-21,0.14359519847763083
2014-09-28,0.21408855271358704
2014-10-05,0.25584877275698514
2014-10-12,0.2688824159968207
2014-10-19,0.3154184722902266
2014-10-26,0.46124686113077895
2014-11-02,0.6932914850782426
2014-11-09,0.9090623308725412
2014-11-16,0.9996966379783525
2014-11-23,0.942554599834606
2014-11-30,0.8071078223994399
2014-12-07,0.6751789207297109
2014-12-14,0.5689803238153799
2014-12-21,0.461118403172962
2014-12-28,0.3386835765543167
2015-01-04,0.23427210907160267
2015-01-11,0.18739805586551583
2015-01-18,0.19071278325983199
2015-01-25,0.19244641045714003
2015-02-01,0.15300424516576092
2015-02-08,0.08610664338467189
2015-02-15,0.03698813468995802
2015-02-22,0.02930417189777761
2015-03-01,0.04651660924302529
2015-03-08,0.06335725863958264
2015-03-15,0.07835217101645368
2015-03-22,0.10343004265546382
2015-03-29,0.13034285291309655
2015-04-05,0.1277345817822155
2015-04-12,0.08033924878011144
2015-04-19,0.01993975749468561
2015-04-26,0.0015477513123634034
2015-05-03,0.04708099457233252
2015-05-10,0.12407567651873644
2015-05-17,0.18692330061212775
2015-05-24,0.2304824390543206
2015-05-31,0.2893709609433852
2015-06-07,0.38390220681534315
2015-06-14,0.48130570773312287
2015-06-21,0.5228671095969571
2015-06-28,0.4858741030589385
2015-07-05,0.4061531031517808
2015-07-12,0.33590179726331093
2015-07-19,0.2899688678333746
2015-07-26,0.24373841108462604
2015-08-02,0.17798128272625507
2015-08-09,0.10902461501395781
2015-08-16,0.0674747762329821
2015-08-23,0.05889468039293299
2015-08-30,0.061550300426820526
2015-09-06,0.06257758682035394
2015-09-13,0.07911002368417538
2015-09-20,0.13112381735109355
2015-09-27,0.202620821851507
2015-10-04,0.2514130935289951
2015-10-11,0.2664595156405833
2015-10-18,0.3010667668858303
2015-10-25,0.4270961877776637
2015-11-01,0.649364093131312
2015-11-08,0.8773270247270384
2015-11-15,0.9951793569649607
2015-11-22,0.9612395572601683
2015-11-29,0.8328420143430864
2015-12-06,0.6965398112319949
2015-12-13,0.5870841764813095
2015-12-20,0.48169781347361257
2015-12-27,0.3606241349206074
2016-01-03,0.24943773330261151
2016-01-10,0.19107334989539998
2016-01-17,0.18852271396346929
2016-01-24,0.19463515292898478
2016-01-31,0.16316204295373163
2016-02-07,0.0980499475833328
2016-02-14,0.042817221958085405
2016-02-21,0.027994630920313467
2016-02-28,0.04296120694916498
2016-03-06,0.06080495558481856
2016-03-13,0.07518379469039257
2016-03-20,0.09814968380475433
2016-03-27,0.1267232317383876
2016-04-03,0.13160720736518672
2016-04-10,0.09127437019124435
2016-04-17,0.029106202079448508
2016-04-24,0.0
2016-05-01,0.035167435088213884
2016-05-08,0.11036188961423642
2016-05-15,0.17769243252520572
2016-05-22,0.22275931750383093
2016-05-29,0.27619391259465664
2016-06-05,0.3651900125412196
2016-06-12,0.4664547296389639
2016-06-19,0.5213873516052614
2016-06-26,0.49723152592666126
2016-07-03,0.42092746916115714
2016-07-10,0.34640247571762917
2016-07-17,0.2972520477562958
2016-07-24,0.25330057508797776
2016-07-31,0.19086369014572693
2016-08-07,0.12005801779789609
2016-08-14,0.07214385441939347
2016-08-21,0.05884847747220828
2016-08-28,0.06122581120365494
2016-09-04,0.06205799609735087
2016-09-11,0.07380749093606943
2016-09-18,0.11936237003608155
2016-09-25,0.19033972638199062
2016-10-02,0.24570235717242733
2016-10-09,0.2645949301912595
2016-10-16,0.2898260662388967
2016-10-23,0.39630079773894433
2016-10-30,0.6056956903781928
2016-11-06,0.8418587090732631
2016-11-13,0.9855276513744917
2016-11-20,0.9768333525157635
2016-11-27,0.8584897413029434
2016-12-04,0.7189325442846866
2016-12-11,0.6053014226366292
2016-12-18,0.5016298866410693
2016-12-25,0.3828229039352157
2017-01-01,0.26641098492155985
2017-01-08,0.19668368948753392
2017-01-15,0.18660555782370106
2017-01-22,0.19547043049007892
2017-01-29,0.17212772585736305
2017-02-05,0.11035276026189297
